Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,
Porsche,Carrera GT,,2004,2007,3000,612,435,553,5.4,88.9,90,15,103.9,T1 ,FALSE,,FALSE,,15,FALSE
Porsche,Cayenne GTS,,2013,2014,4597,420,380,406.7,11.3,64,55,-2.5,61.5,T3,FALSE,,FALSE,,-2.5,FALSE
Porsche,Cayenne Turbo,,2003,2006,5200,450,460,453.3,11.5,63.3,50,-5,58.3,T4 ,FALSE,,FALSE,,-5,FALSE
Porsche,Cayman (981),,2014,2016,2888,275,213,254.3,11.4,63.7,80,10,73.7,T3,FALSE,,FALSE,,10,FALSE
Porsche,Cayman (987.1),,2006,2008,2866,245,201,230.3,12.4,59.1,80,10,69.1,T3,FALSE,,FALSE,,10,FALSE
Porsche,Cayman (987.2),,2009,2012,2932,265,221,250.3,11.7,62.2,80,10,72.2,T3,FALSE,,FALSE,,10,FALSE
Porsche,Cayman GT4 (918),,2015,2016,2955,385,309,359.7,8.2,77.1,90,15,92.1,T2,FALSE,,FALSE,,15,FALSE
Porsche,Cayman GTS,,2018,,3031,365,309,346.3,8.8,74.8,80,10,84.8,T2,FALSE,,FALSE,,10,FALSE
Porsche,Cayman S (987.1),,2006,2008,2954,295,251,280.3,10.5,67.2,80,10,77.2,T2,FALSE,,FALSE,,10,FALSE
Porsche,Cayman S/GTS (981),,2014,2016,2910,325,273,307.7,9.5,71.8,80,10,81.8,T2,FALSE,,FALSE,,10,FALSE
Porsche,Cayman S/R (987.2),,2009,2012,2976,320,273,304.3,9.8,70.4,80,10,80.4,T2,FALSE,,FALSE,,10,FALSE
Porsche,Panamera Turbo,,2010,2016,4343,500,516,505.3,8.6,75.5,75,7.5,83,T2,FALSE,,FALSE,,7.5,FALSE
Saab,900 Turbo,,1990,1993,2967,175,195,181.7,16.3,42.6,55,-2.5,40.1,T5 ,FALSE,,FALSE,,-2.5,FALSE
Saab,9000 Aero,,1993,1997,3250,225,258,236,13.8,53.5,55,-2.5,51,T4 ,FALSE,,FALSE,,-2.5,FALSE
Saab,9-3 Vector,,2002,2003,3285,210,221,213.7,15.4,46.7,50,-5,41.7,T5 ,FALSE,,FALSE,,-5,FALSE
Saab,9-3 Viggen,,1999,2002,2987,230,258,239.3,12.5,59,60,0,59,T4 ,FALSE,,FALSE,,0,FALSE
