Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Jaguar,XKR-S,,2006,,3968,550,502,534,7.4,80.4,70,5,85.4,T2,FALSE,,FALSE,,FALSE,FALSE,260,row 260: Model 'XKR-S' does not match any model key/name for make 'jaguar'
Lexus,IS300,,2001,2005,3255,215,218,216,15.1,48,60,0,48,T4 ,FALSE,,FALSE,,FALSE,FALSE,264,row 264: Model 'IS300' does not match any model key/name for make 'lexus'
Maserati,Gran Turismo S,,2008,2012,4100,434,360,409.3,10,69.4,80,10,79.4,T2,FALSE,,FALSE,,FALSE,FALSE,268,row 268: Model 'Gran Turismo S' does not match any model key/name for make 'maserati'
Mazda,3,,2012,,2866,148,135,143.7,19.9,27.2,55,-2.5,24.7,T5 ,FALSE,,FALSE,,FALSE,FALSE,269,row 269: Model '3' does not match any model key/name for make 'mazda'
Mazda,MazdaSpeed MX5,,2004,2005,2529,178,166,174,14.5,50.2,70,5,55.2,T4 ,FALSE,,FALSE,,FALSE,FALSE,270,row 270: Model 'MazdaSpeed MX5' does not match any model key/name for make 'mazda'
Mazda,Mazdaspeed Protege,,2003,2003,2843,170,160,166.7,17.1,39.5,60,0,39.5,T5 ,FALSE,,FALSE,,FALSE,FALSE,271,row 271: Model 'Mazdaspeed Protege' does not match any model key/name for make 'mazda'
Mazda,Mazdaspeed3,,2007,2007,3153,263,280,268.7,11.7,62.1,60,0,62.1,T3,FALSE,,FALSE,,FALSE,FALSE,272,row 272: Model 'Mazdaspeed3' does not match any model key/name for make 'mazda'
Mazda,Mazdaspeed6,,2006,2007,3589,274,280,276,13,56.7,60,0,56.7,T4 ,FALSE,,FALSE,,FALSE,FALSE,273,row 273: Model 'Mazdaspeed6' does not match any model key/name for make 'mazda'
Mazda,Miata NA 1.6,,1989,1993,2222,116,100,110.7,20.1,26.7,65,2.5,29.2,T5 ,FALSE,,FALSE,,FALSE,FALSE,274,row 274: Model 'Miata NA 1.6' does not match any model key/name for make 'mazda'
Mazda,Miata NA 1.8,,1994,1997,2293,128,114,123.3,18.6,33,65,2.5,35.5,T5 ,FALSE,,FALSE,,FALSE,FALSE,275,row 275: Model 'Miata NA 1.8' does not match any model key/name for make 'mazda'
Mazda,Miata NB,,1999,2005,2447,140,125,135,18.1,35,65,2.5,37.5,T5 ,FALSE,,FALSE,,FALSE,FALSE,276,row 276: Model 'Miata NB' does not match any model key/name for make 'mazda'
Mazda,RX7,,1981,1983,2350,101,107,103,22.8,15,50,-5,10,T5 ,FALSE,,FALSE,,FALSE,FALSE,281,row 281: Model 'RX7' does not match any model key/name for make 'mazda'
Mazda,RX8,,2008,2011,3084,232,159,207.7,14.9,48.9,70,5,53.9,T4 ,,,,,,,286,row 286: Model 'RX8' does not match any model key/name for make 'mazda'
Mercedes-Benz,190E,,1990,1993,2987,130,146,135.3,22.1,18.2,60,0,18.2,T5 ,FALSE,,FALSE,,FALSE,FALSE,290,row 290: Model '190E' does not match any model key/name for make 'mercedes_benz'
Mercedes-Benz,CLA45S AMG,,2024,2024,3660,416,369,400.3,9.1,73.1,85,12.5,85.6,T2,FALSE,,FALSE,,FALSE,FALSE,291,row 291: Model 'CLA45S AMG' does not match any model key/name for make 'mercedes_benz'
